direction,rsu,vehicle,sender,receiver,packets_received,min_msgId,max_msgId,packets_expected,mean_distance_m,median_distance_m,min_distance_m,max_distance_m,mean_delay_ms,median_delay_ms,simulation_duration_s,pdr_overall,pdr_sliding_window
V2I,rsu[0],carNoIp[48],carNoIp[48],rsu[0],836,245,1304,1060,276.05722368421044,258.56600000000003,44.407,815.5089999999999,68.95454545454545,63.0,105.92099999999999,78.8679245283019,100.0
V2I,rsu[0],carNoIp[50],carNoIp[50],rsu[0],621,0,787,788,214.09659903381632,193.74599999999998,27.065,868.842,66.02093397745571,83.0,78.767,78.80710659898476,100.0
V2I,rsu[0],carNoIp[40],carNoIp[40],rsu[0],550,0,697,698,258.8898872727275,251.2,23.93,841.7189999999999,35.86545454545455,35.0,69.78200000000001,78.79656160458453,100.0
V2I,rsu[0],carNoIp[16],carNoIp[16],rsu[0],663,150,991,842,283.20606184012064,275.967,20.811999999999998,829.0089999999999,44.15686274509804,34.0,84.138,78.74109263657957,100.0
V2I,rsu[0],carNoIp[103],carNoIp[103],rsu[0],805,110,1135,1026,255.32017267080732,233.53,30.217,794.732,68.4919254658385,78.0,102.451,78.46003898635477,100.0
V2I,rsu[0],carNoIp[143],carNoIp[143],rsu[0],720,140,1057,918,256.64497083333345,236.83350000000002,27.065,826.2560000000001,51.86805555555556,48.0,91.685,78.43137254901961,100.0
V2I,rsu[0],carNoIp[135],carNoIp[135],rsu[0],587,0,748,749,179.3262998296423,111.867,27.066,882.1519999999999,69.40545144804089,74.0,74.733,78.37116154873164,100.0
V2I,rsu[0],carNoIp[215],carNoIp[215],rsu[0],340,5,438,434,277.7481705882349,262.197,28.875,698.57,46.68235294117647,41.0,43.27299999999997,78.3410138248848,100.0
V2I,rsu[0],carNoIp[84],carNoIp[84],rsu[0],734,0,940,941,256.8608855585832,233.624,30.217,828.664,43.237057220708444,42.0,93.999,78.00212539851222,100.0
V2I,rsu[0],carNoIp[39],carNoIp[39],rsu[0],544,0,697,698,248.8276985294119,228.84799999999998,30.217,832.047,53.69669117647059,65.0,69.735,77.93696275071633,100.0
V2I,rsu[0],carNoIp[219],carNoIp[219],rsu[0],282,15,376,362,329.12342553191473,320.0825,57.588,695.2330000000001,22.085106382978722,17.0,36.07299999999998,77.90055248618785,100.0
V2I,rsu[0],carNoIp[38],carNoIp[38],rsu[0],678,0,872,873,291.4089587020649,279.325,27.065,759.8560000000001,66.15339233038348,76.0,87.269,77.66323024054984,100.0
V2I,rsu[0],carNoIp[43],carNoIp[43],rsu[0],749,80,1045,966,258.5783444592789,241.97,27.133000000000003,834.791,52.6822429906542,56.0,96.52000000000001,77.53623188405797,100.0
V2I,rsu[0],carNoIp[117],carNoIp[117],rsu[0],810,15,1060,1046,218.75691111111107,177.70300000000003,20.81,861.679,60.47283950617284,73.0,104.52599999999998,77.43785850860421,100.0
V2I,rsu[0],carNoIp[36],carNoIp[36],rsu[0],852,10,1111,1102,210.24711502347472,152.9155,23.93,934.945,39.28521126760563,23.0,110.14600000000002,77.31397459165154,100.0
V2I,rsu[0],carNoIp[72],carNoIp[72],rsu[0],809,75,1124,1050,242.63130037082806,213.292,23.929000000000002,895.03,71.14709517923362,78.0,104.951,77.04761904761904,100.0
V2I,rsu[0],carNoIp[182],carNoIp[182],rsu[0],606,0,791,792,221.81329207920808,199.608,30.221999999999998,907.455,36.68481848184818,16.0,79.09599999999998,76.51515151515152,100.0
V2I,rsu[0],carNoIp[20],carNoIp[20],rsu[0],449,0,586,587,240.17208463251652,217.643,23.929000000000002,840.341,38.45879732739421,36.0,58.622,76.49063032367974,100.0
V2I,rsu[0],carNoIp[85],carNoIp[85],rsu[0],758,80,1070,991,228.90915039577766,184.95999999999998,37.681,912.163,32.88522427440633,30.0,99.041,76.48839556004037,100.0
V2I,rsu[0],carNoIp[79],carNoIp[79],rsu[0],708,30,956,927,261.91864689265526,248.029,30.217,795.887,51.152542372881356,60.0,92.55199999999999,76.37540453074433,100.0
V2I,rsu[0],carNoIp[2],carNoIp[2],rsu[0],839,30,1133,1104,225.73156853396978,178.424,20.816,905.316,58.80810488676996,69.0,110.207,75.9963768115942,100.0
V2I,rsu[0],carNoIp[65],carNoIp[65],rsu[0],424,0,557,558,227.21839150943416,154.21800000000002,23.938000000000002,833.525,26.67452830188679,37.0,55.72099999999999,75.98566308243727,100.0
V2I,rsu[0],carNoIp[41],carNoIp[41],rsu[0],813,95,1166,1072,231.66035793357867,202.41299999999998,20.854,807.9989999999999,46.84009840098401,42.0,107.05600000000001,75.83955223880598,100.0
V2I,rsu[0],carNoIp[23],carNoIp[23],rsu[0],989,55,1361,1307,235.1933316481287,200.15400000000002,30.219,817.17,54.96157735085946,63.0,130.614,75.66947207345065,100.0
V2I,rsu[0],carNoIp[17],carNoIp[17],rsu[0],582,15,785,771,300.42926116838476,292.76599999999996,23.928,876.5880000000001,51.68900343642612,46.0,76.972,75.4863813229572,100.0
V2I,rsu[0],carNoIp[128],carNoIp[128],rsu[0],662,135,1014,880,282.9837990936554,269.4185,44.409,785.485,44.96525679758308,30.0,87.893,75.22727272727273,100.0
V2I,rsu[0],carNoIp[106],carNoIp[106],rsu[0],700,0,930,931,260.2288685714284,236.9255,27.065,866.015,56.502857142857145,48.0,93.01199999999999,75.18796992481202,100.0
V2I,rsu[0],carNoIp[57],carNoIp[57],rsu[0],703,0,937,938,256.17707112375564,241.56799999999998,20.816,892.962,52.53627311522048,52.0,93.65700000000001,74.94669509594883,100.0
V2I,rsu[0],carNoIp[88],carNoIp[88],rsu[0],595,0,795,796,217.23493445378156,165.74200000000002,44.419,891.2919999999999,56.80504201680672,66.0,79.55700000000002,74.74874371859298,100.0
V2I,rsu[0],carNoIp[139],carNoIp[139],rsu[0],794,5,1067,1063,239.1230793450881,207.43,27.065,807.944,42.5743073047859,38.0,106.197,74.69426152398871,100.0
V2I,rsu[0],carNoIp[30],carNoIp[30],rsu[0],698,95,1033,939,242.81686676217774,213.28699999999998,27.065,937.1080000000001,38.3567335243553,39.0,93.76799999999999,74.33439829605963,100.0
V2I,rsu[0],carNoIp[119],carNoIp[119],rsu[0],573,110,880,771,298.42952705061066,288.496,30.217,827.2589999999999,40.1064572425829,22.0,77.011,74.31906614785993,100.0
V2I,rsu[0],carNoIp[13],carNoIp[13],rsu[0],623,0,838,839,292.97767736757646,285.001,20.81,897.431,77.33065810593901,77.0,83.73,74.25506555423122,100.0
