sender,total_sent
carNoIp[582],1202
carNoIp[583],1202
carNoIp[584],1187
carNoIp[585],1187
carNoIp[586],1187
carNoIp[587],1187
carNoIp[588],1171
carNoIp[589],1171
carNoIp[590],1171
carNoIp[591],1171
carNoIp[592],1156
carNoIp[593],1156
carNoIp[594],1156
carNoIp[595],1156
carNoIp[596],1140
carNoIp[597],1140
carNoIp[598],1140
carNoIp[599],1140
carNoIp[600],1127
carNoIp[601],1127
carNoIp[602],1127
carNoIp[603],1127
carNoIp[604],1127
carNoIp[605],1127
carNoIp[606],1127
carNoIp[607],1127
carNoIp[608],1125
carNoIp[609],1125
carNoIp[610],1125
carNoIp[611],1125
carNoIp[612],1109
carNoIp[613],1109
carNoIp[614],1109
carNoIp[615],1109
carNoIp[616],1094
carNoIp[617],1094
carNoIp[618],1094
carNoIp[619],1094
carNoIp[620],1078
carNoIp[621],1078
carNoIp[622],1078
carNoIp[623],1078
carNoIp[624],1063
carNoIp[625],1063
carNoIp[626],1063
carNoIp[627],1063
carNoIp[628],1047
carNoIp[629],1047
carNoIp[630],1047
carNoIp[631],1047
carNoIp[632],1031
carNoIp[633],1031
carNoIp[634],1031
carNoIp[635],1031
carNoIp[636],1016
carNoIp[637],1016
carNoIp[638],1016
carNoIp[639],1016
carNoIp[640],1003
carNoIp[641],1003
carNoIp[642],1003
carNoIp[643],1003
carNoIp[644],1003
carNoIp[645],1003
carNoIp[646],1003
carNoIp[647],1003
carNoIp[648],1000
carNoIp[649],1000
carNoIp[650],1000
carNoIp[651],1000
carNoIp[652],985
carNoIp[653],985
carNoIp[654],985
carNoIp[655],985
carNoIp[656],969
carNoIp[657],969
carNoIp[658],969
carNoIp[659],969
carNoIp[660],954
carNoIp[661],954
carNoIp[662],954
carNoIp[663],954
carNoIp[664],938
carNoIp[665],938
carNoIp[666],938
carNoIp[667],938
carNoIp[668],923
carNoIp[669],923
carNoIp[670],923
carNoIp[671],923
carNoIp[672],907
carNoIp[673],907
carNoIp[674],907
carNoIp[675],907
carNoIp[676],892
carNoIp[677],892
carNoIp[678],892
carNoIp[679],892
carNoIp[680],879
carNoIp[681],879
carNoIp[682],879
carNoIp[683],879
carNoIp[684],879
carNoIp[685],879
carNoIp[686],879
carNoIp[687],879
carNoIp[688],876
carNoIp[689],876
carNoIp[690],876
carNoIp[691],876
carNoIp[692],861
carNoIp[693],861
carNoIp[694],861
carNoIp[695],861
