t,rsu,msgId,lat,lon,heading,speed,dist_m,delay_ms,verified,cert_size,sig_size,spdu_size,Algorithm
21.858000,rsu[0],207,332.782747,128.704691,1.570796,0.000000,78.630,58.000,1,897,655,1621,Falcon-512
21.958000,rsu[0],208,332.814778,127.504664,1.570796,0.000000,79.733,58.000,1,897,657,1623,Falcon-512
22.058000,rsu[0],209,332.847205,126.289773,1.570796,0.000000,80.853,58.000,1,897,652,1618,Falcon-512
22.158000,rsu[0],210,332.880217,125.053010,1.570796,0.000000,81.995,58.000,1,897,656,1622,Falcon-512
22.258000,rsu[0],211,332.913696,123.798705,1.570796,0.000000,83.156,58.000,1,897,659,1625,Falcon-512
22.358000,rsu[0],212,332.947548,122.530438,1.570796,0.000000,84.333,58.000,1,897,652,1618,Falcon-512
22.458000,rsu[0],213,332.981751,121.249056,1.570796,0.000000,85.525,58.000,1,897,660,1626,Falcon-512
22.558000,rsu[0],214,333.016523,119.949815,1.570796,0.000000,86.736,58.000,1,897,652,1618,Falcon-512
22.658000,rsu[0],215,333.052008,118.630122,1.570796,0.000000,87.969,58.000,1,897,655,1621,Falcon-512
22.758000,rsu[0],216,333.088139,117.286965,1.570796,0.000000,89.226,58.000,1,897,655,1621,Falcon-512
22.858000,rsu[0],217,333.124842,115.922542,1.570796,0.000000,90.506,58.000,1,897,653,1619,Falcon-512
22.958000,rsu[0],218,333.162244,114.532168,1.570796,0.000000,91.812,58.000,1,897,654,1620,Falcon-512
23.058000,rsu[0],219,333.200280,113.118211,1.570796,0.000000,93.143,58.000,1,897,655,1621,Falcon-512
23.158000,rsu[0],220,333.238668,111.691153,1.570796,0.000000,94.489,58.000,1,897,657,1623,Falcon-512
23.258000,rsu[0],221,333.277574,110.244843,1.570796,0.000000,95.856,58.000,1,897,654,1620,Falcon-512
23.358000,rsu[0],222,333.317096,108.775619,1.570796,0.000000,97.247,58.000,1,897,653,1619,Falcon-512
23.458000,rsu[0],223,333.357315,107.280522,1.570796,0.000000,98.664,58.000,1,897,651,1617,Falcon-512
23.558000,rsu[0],224,333.398156,105.762261,1.570796,0.000000,100.106,58.000,1,897,656,1622,Falcon-512
23.658000,rsu[0],225,333.439358,104.230604,1.570796,0.000000,101.563,58.000,1,897,654,1620,Falcon-512
23.758000,rsu[0],226,333.480958,102.684144,1.570796,0.000000,103.036,58.000,1,897,652,1618,Falcon-512
23.858000,rsu[0],227,333.522363,101.144941,1.570796,0.000000,104.504,58.000,1,897,654,1620,Falcon-512
23.958000,rsu[0],228,333.563893,99.601099,1.570796,0.000000,105.979,58.000,1,897,660,1626,Falcon-512
24.058000,rsu[0],229,333.605313,98.061323,1.570796,0.000000,107.451,58.000,1,897,653,1619,Falcon-512
24.158000,rsu[0],230,333.646824,96.518181,1.570796,0.000000,108.929,58.000,1,897,654,1620,Falcon-512
24.258000,rsu[0],231,333.688274,94.977290,1.570796,0.000000,110.407,58.000,1,897,658,1624,Falcon-512
24.358000,rsu[0],232,333.729826,93.432624,1.570796,0.000000,111.890,58.000,1,897,656,1622,Falcon-512
24.458000,rsu[0],233,333.771501,91.883395,1.570796,0.000000,113.379,58.000,1,897,649,1615,Falcon-512
24.558000,rsu[0],234,333.813066,90.338246,1.570796,0.000000,114.865,58.000,1,897,657,1623,Falcon-512
24.658000,rsu[0],235,333.854614,88.793718,1.570796,0.000000,116.353,58.000,1,897,653,1619,Falcon-512
